"id";"parent_id:id";"code";"name";"type";;;;"le";"description"
"kp_rrif_0361";"kp_rrif_036";"0361";"Predujmovi za alate, pogonski inventar i transportnu imovinu";"view";4;;;60;
"kp_rrif_0362";"kp_rrif_036";"0362";"Predujam za ostalu imovinu";"view";4;;;26;
"kp_rrif_037";"kp_rrif_03";"037";"Materijalna imovina u pripremi";"view";3;;;30;
"kp_rrif_0370";"kp_rrif_037";"0370";"Postrojenja u pripremi";"view";4;;;22;
"kp_rrif_0371";"kp_rrif_037";"0371";"Oprema u pripremi";"view";4;;;17;
"kp_rrif_0372";"kp_rrif_037";"0372";"Alati, pogonski inventar u pripremi";"view";4;;;35;
"kp_rrif_0373";"kp_rrif_037";"0373";"Osobni automobili i transportna sredstva u pripremi";"view";4;;;51;
"kp_rrif_0374";"kp_rrif_037";"0374";"Poljoprivredna oprema u pripremi";"view";4;;;32;
"kp_rrif_0375";"kp_rrif_037";"0375";"Ostala imovina u pripremi";"view";4;;;25;
"kp_rrif_038";"kp_rrif_03";"038";"Vrijednosno usklaðenje postrojenja i opreme";"view";3;;;43;
"kp_rrif_0380";"kp_rrif_038";"0380";"Vrijednosno usklaðenje postrojenja";"view";4;;;34;
"kp_rrif_0381";"kp_rrif_038";"0381";"Vrijednosno usklaðenje opreme";"view";4;;;29;
"kp_rrif_0382";"kp_rrif_038";"0382";"Vrijednosno usklaðenje alata, pogonskog inventara i transportne imovine";"view";4;;;71;
"kp_rrif_0383";"kp_rrif_038";"0383";"Vrijednosno usklaðenje ostale mat. imovine";"view";4;;;42;
"kp_rrif_0384";"kp_rrif_038";"0384";"Vrijednosno usklaðenje poljoprivredne opreme";"view";4;;;44;
"kp_rrif_039";"kp_rrif_03";"039";"Akumulirana amortizacija postrojenja i opreme";"view";3;;;45;
"kp_rrif_0390";"kp_rrif_039";"0390";"Akumulirana amortiz. postrojenja";"view";4;;;32;
"kp_rrif_0391";"kp_rrif_039";"0391";"Akumulirana amortiz. opreme";"view";4;;;27;
"kp_rrif_0392";"kp_rrif_039";"0392";"Akumulirana amortiz. alata, pogonskog inventara i transportne imovine";"view";4;;;69;
"kp_rrif_0393";"kp_rrif_039";"0393";"Akumulirana amortiz. ostale mat. imovine";"view";4;;;40;
