"code","name","note"
"2411","Obveze za prirez iz plaća i primitaka izjednačenih s plaćama","Obveze za prirez iz plaća i primitaka izjednačenih s plaćama"
"2412","Obveze za porez i prirez na drugi dohodak (autorski honorari, ug. o djelu, doh. članova nadz.i dr.)","Obveze za porez i prirez na drugi dohodak (iz autorskih honorara, ugovora o djelu, dohodaka članova nadzornog odbora i dr.)"
"2413","Obveze za porez i prirez iz stipendija i nagrada učenika na praksi","Obveze za porez i prirez iz stipendija i nagrada učenika na praksi"
"2414","Obveze za porez i prirez za ostale dohotke","Obveze za porez i prirez za ostale dohotke"
"242","Obveze za doprinose za osiguranja","Obveze za doprinose za osiguranja"
"2420","Doprinos za MO iz plaća (I. stup)","Doprinos za MO iz plaća (I. stup)"
"2421","Doprinos za MO iz plaća (II. stup - analitika prema fondovima)","Doprinos za MO iz plaća (II. stup - analitika prema fondovima)"
"2422","Doprinos za MO za beneficirani staž (I. i II. stup)","Doprinos za MO za beneficirani staž (I. i II. stup)"
"2423","Doprinos za zdravstveno osiguranje na plaće","Doprinos za zdravstveno osiguranje na plaće"
"2424","Poseban doprinos za zdravstveno osiguranje na plaće za ozljede na radu i prof. bolesti","Poseban doprinos za zdravstveno osiguranje na plaće za ozljede na radu i prof. bolesti"
"2426","Doprinos za zapošljavanje na plaću","Doprinos za zapošljavanje na plaću"
"2427","Doprinosi za osiguranja na druge dohotke","Doprinosi za osiguranja na druge dohotke"
"24270","Doprinos za MO I. stup","Doprinos za MO I. stup"
"24271","Doprinos za MO II. stup","Doprinos za MO II. stup"
"24272","Doprinos za zdravstveno osiguranje na honorar","Doprinos za zdravstveno osiguranje na honorar"
"2428","Doprinos HZZO-u na službena putovanja u inozemstvo","Doprinos HZZO-u na službena putovanja u inozemstvo"
"2429","Obveze za ostale nespomenute doprinose koji se plaćaju na dohotke","Obveze za ostale nespomenute doprinose koji se plaćaju na dohotke"
"243","Obveze za porez na dobitak, dohodak od kapitala i porez po odbitku","Obveze za porez na dobitak, dohodak od kapitala i porez po odbitku"
"2430","Obveze za porez na dobitak","Obveze za porez na dobitak"
"2431","Obveze za porez na dohotke od kapitala","Obveze za porez na dohotke od kapitala"
"24310","Porez na dohodak od kapitala na izuzimanja ili privatni život članova društva i dioničara (35%+prirez)","Porez na dohodak od kapitala na izuzimanja ili privatni život članova društva i dioničara (35% + prirez)"
"24311","Porez na dohodak od kapitala na isplate dobitka i dividendi (iz 2001. do 2004. = 15% + prirez)","Porez na dohodak od kapitala na isplate dobitka i dividendi (iz 2001. do 2004. = 15% + prirez)"
"24312","Porez na dohodak od kapitala na kamate (na zajmove fizičkih osoba = 35% + prirez)","Porez na dohodak od kapitala na kamate (na zajmove fizičkih osoba = 35% + prirez)"
"24313","Porez na dohodak od kapitala s osnove opcijskih dionica (15% + prirez)","Porez na dohodak od kapitala s osnove opcijskih dionica (15% + prirez)"
"2432","Obveze za porez po odbitku (-15% -čl.31.Zakona o porezu na dobit -na ino usluge intelek. vlas. i dr.)","Obveze za porez po odbitku (na inozemne usluge intelektualnog vlasništva, za istraživ. tržišta, poslovno i porezno savjetovanje, revizorske usluge i na kamate inozemnim nebankarskim pravnim osobama - 15% - čl. 31. Zakona o porezu na dobit)"
"2436","Obveza za PD po rješenju poreznog nadzora","Obveza za PD po rješenju poreznog nadzora"
"244","Obveze za posebne poreze (trošarine - akcize) i dr. poreze državi","Obveze za posebne poreze (trošarine - akcize) i dr. poreze državi"
"2440","Obveza za posebni porez pri uvozu automobila, plovila i zrakoplova","Obveza za posebni porez pri uvozu automobila, plovila i zrakoplova"
"2441","Obveza za posebni porez na bezalkoholna pića","Obveza za posebni porez na bezalkoholna pića"
"2442","Obveza za posebni porez na pivo","Obveza za posebni porez na pivo"
"2443","Obveza za posebni porez na alkohol","Obveza za posebni porez na alkohol"
"2444","Obveza za posebni porez na naftne derivate","Obveza za posebni porez na naftne derivate"
"24440","Obveze za naknade za Hrvatske autoceste","Obveze za naknade za Hrvatske autoceste"
"24441","Obveze za naknade za Hrvatske ceste","Obveze za naknade za Hrvatske ceste"
"2445","Obveze za posebni porez na duhanske proizvode","Obveze za posebni porez na duhanske proizvode"
"2446","Obveza za posebni porez na kavu","Obveza za posebni porez na kavu"
"2447","Obveze za posebni porez na luksuzne proizvode","Obveze za posebni porez na luksuzne proizvode"
"2448","Obveza za 5% poreza na promet nekretnina","Obveza za 5% poreza na promet nekretnina"
"2449","Obveze za 5% poreza na promet mot. vozila i plovila","Obveze za 5% poreza na promet mot. vozila i plovila"
"245","Obveze za članarinu turist. zajednicama","Obveze za članarinu turist. zajednicama"
